Name,Potential_impacts,Cumulative_Impact_probablility,Velocity(km/s),Magnitude,Estimated_Diameter(km),Cum_Palermo_scale,Max_Palermo_scale,Start_year,End_year,Period
29075 (1950 DA),1,0.00011999999999999999,14.1,17.6,1.3,-1.42,-1.42,2880,2880,0
101955 Bennu (1999 RQ36),78,0.00037,5.99,20.2,0.49,-1.69,-2.3,2175,2199,24
(1979 XB),2,7.4e-07,23.92,18.5,0.662,-2.79,-3.08,2056,2113,57
(2000 SG344),101,0.0026,1.36,24.8,0.037000000000000005,-2.84,-3.2,2069,2113,44
(2009 JF1),1,0.00026000000000000003,23.92,27.1,0.013000000000000001,-2.88,-2.88,2022,2022,0
(2007 FT3),164,1.4e-06,17.06,20.0,0.34,-2.95,-3.46,2024,2116,92
(2008 JL3),27,0.00016,8.42,25.3,0.028999999999999998,-3.23,-3.24,2027,2119,92
(2021 EU),3,4.6e-05,21.46,25.4,0.027999999999999997,-3.28,-3.31,2024,2056,32
(2010 RF12),59,0.047,5.1,28.4,0.006999999999999999,-3.31,-3.32,2095,2119,24
(2005 QK76),9,6.8e-05,19.67,25.2,0.031,-3.41,-3.55,2030,2107,77
(2005 ED224),5,2.6e-06,24.96,24.0,0.054000000000000006,-3.45,-3.46,2023,2064,41
(2014 MR26),12,2.5e-08,26.98,17.8,0.9159999999999999,-3.49,-3.8,2036,2073,37
(2001 CA21),3,9.3e-09,30.7,18.5,0.677,-3.52,-3.53,2025,2073,48
(2016 NL56),259,7.2e-07,15.23,20.6,0.265,-3.56,-4.25,2023,2118,95
(1994 GK),5,6.9e-05,14.87,24.2,0.048,-3.62,-3.63,2051,2067,16
(2001 VB),1,2.4e-09,35.02,18.3,0.73,-3.63,-3.63,2023,2023,0
(2008 UB7),31,3.5e-05,18.51,23.8,0.057999999999999996,-3.68,-4.29,2048,2100,52
(2000 SB45),101,0.00016,7.53,24.3,0.046,-3.75,-4.21,2074,2113,39
(2012 HG2),469,0.0028,3.33,27.0,0.013999999999999999,-3.75,-4.25,2052,2119,67
(2012 QD8),4,6.5000000000000004e-06,20.76,23.1,0.081,-3.75,-3.88,2042,2105,63
(2016 WN55),76,1.1e-07,15.41,19.4,0.452,-3.77,-4.46,2026,2114,88
(2007 DX40),41,6.2e-05,15.53,24.6,0.04,-3.8,-4.22,2030,2111,81
(2020 VW),15,0.007,9.69,28.3,0.006999999999999999,-3.84,-4.12,2074,2087,13
(2020 FA5),81,6.7e-07,28.26,21.0,0.212,-3.85,-4.52,2043,2119,76
(2008 EX5),16,4.7e-05,9.92,23.8,0.059000000000000004,-3.86,-4.13,2061,2090,29
(2017 WT28),72,0.011000000000000001,4.47,28.1,0.008,-3.86,-3.88,2083,2119,36
(2020 VV),151,0.0023,2.57,27.3,0.012,-3.88,-4.36,2044,2120,76
(2013 VW13),9,0.00043,16.35,26.2,0.019,-3.89,-4.06,2071,2084,13
(2009 BE),24,0.00043,11.46,26.1,0.02,-4.0,-4.3,2061,2117,56
(2006 JY26),39,0.007,2.98,28.4,0.006999999999999999,-4.04,-4.04,2073,2109,36
(2008 CC71),20,5.9e-05,8.07,24.9,0.036000000000000004,-4.07,-4.43,2034,2082,48
(2017 SH33),21,2.2999999999999998e-08,25.22,19.2,0.49,-4.09,-4.44,2026,2093,67
(2020 TJ3),29,7.2e-05,8.21,24.6,0.040999999999999995,-4.11,-4.61,2067,2120,53
(2015 YJ),54,0.0016,16.35,28.3,0.006999999999999999,-4.12,-4.35,2042,2115,73
(2014 GN1),1,2.1e-05,21.23,24.6,0.040999999999999995,-4.13,-4.13,2061,2061,0
(2020 KD3),18,0.0006,7.93,26.4,0.017,-4.13,-4.14,2083,2107,24
(2006 DM63),39,0.00014,10.37,26.7,0.015,-4.14,-4.42,2031,2116,85
(2011 DU9),4,0.00028,8.77,26.7,0.016,-4.15,-4.15,2046,2059,13
(2017 LD),204,0.0022,4.49,27.5,0.011000000000000001,-4.18,-4.74,2053,2120,67
(2010 CR5),3,7.5e-08,23.68,19.8,0.371,-4.2,-4.23,2062,2075,13
(2020 MJ),29,9.499999999999999e-05,17.05,25.3,0.03,-4.2,-4.42,2086,2109,23
(2021 AM6),30,0.0005200000000000001,5.21,26.6,0.016,-4.21,-4.55,2064,2120,56
(2010 GM23),30,6.3e-05,13.44,24.7,0.04,-4.22,-4.87,2087,2116,29
(2013 TP4),1,4.9e-05,25.3,27.5,0.011000000000000001,-4.23,-4.23,2026,2026,0
(2016 WG),24,5.7999999999999995e-06,23.6,23.3,0.075,-4.23,-4.93,2076,2115,39
(2008 HJ),25,0.00026000000000000003,7.53,25.8,0.024,-4.27,-4.73,2077,2112,35
(2017 RZ17),44,2.5e-08,19.2,19.8,0.369,-4.28,-4.62,2022,2116,94
(2019 LW4),38,0.001,8.62,27.3,0.012,-4.28,-4.31,2083,2115,32
(2014 JU15),86,5.6000000000000006e-05,10.35,24.7,0.039,-4.3,-5.2,2079,2114,35
(2002 RB182),26,6.1e-06,13.26,22.8,0.092,-4.31,-5.02,2053,2116,63
(2007 KO4),315,4.2999999999999995e-06,13.71,23.3,0.075,-4.32,-5.13,2022,2116,94
(2010 UK),43,0.0005200000000000001,6.08,26.9,0.013999999999999999,-4.34,-4.35,2068,2116,48
(2007 KE4),4,1.4000000000000001e-05,10.07,25.2,0.031,-4.36,-4.39,2026,2115,89
(2019 LU1),8,4.4e-06,31.85,24.3,0.048,-4.36,-4.42,2056,2070,14
(2020 TY4),2,2.8999999999999997e-05,8.37,24.0,0.054000000000000006,-4.36,-4.36,2099,2099,0
(2020 CQ1),11,0.0046,4.9,28.8,0.006,-4.37,-4.38,2070,2119,49
(2008 ST7),21,2.7000000000000002e-05,9.97,24.1,0.052000000000000005,-4.39,-4.81,2074,2112,38
(2010 QG2),6,1.1e-05,12.89,24.3,0.047,-4.39,-4.4,2051,2064,13
(2016 HF3),2,4.7e-05,7.93,24.8,0.038,-4.4,-4.4,2078,2092,14
(2008 EZ84),9,0.00018999999999999998,7.91,26.2,0.02,-4.41,-4.71,2072,2115,43
(2011 BL45),56,0.00084,1.68,27.1,0.013000000000000001,-4.42,-4.57,2050,2119,69
(2008 TE),4,4.3e-05,11.84,27.7,0.01,-4.43,-4.43,2023,2077,54
(2018 NJ),17,0.0016,5.85,27.8,0.009000000000000001,-4.43,-4.44,2083,2116,33
(2011 EB74),423,0.00033,7.54,26.9,0.013999999999999999,-4.44,-5.4,2032,2116,84
(2016 RD34),21,0.0006799999999999999,1.13,27.4,0.011000000000000001,-4.44,-4.77,2051,2094,43
(2018 TY4),1,0.00031,10.67,28.1,0.008,-4.45,-4.45,2033,2033,0
(2017 AE21),96,4.6e-06,5.14,25.0,0.034,-4.47,-5.01,2021,2117,96
(2018 JD),5,0.00026000000000000003,8.01,26.7,0.016,-4.48,-4.48,2067,2096,29
(2010 MY112),28,1.1000000000000001e-08,23.63,21.0,0.37,-4.49,-4.84,2022,2092,70
(2012 BA77),29,3.3e-05,12.7,25.9,0.023,-4.49,-5.01,2025,2088,63
(2019 WG2),37,4.3e-05,14.77,24.9,0.035,-4.51,-5.05,2093,2119,26
(2012 MF7),12,0.00015,8.7,26.8,0.015,-4.53,-4.57,2046,2096,50
(2012 VE77),2,2.6000000000000002e-05,15.33,26.3,0.018000000000000002,-4.54,-4.54,2033,2035,2
(2018 DQ),62,0.00022,20.85,29.1,0.005,-4.54,-4.58,2027,2114,87
(2013 GM3),169,0.00015,7.14,26.2,0.019,-4.56,-5.31,2028,2116,88
(2007 WP3),17,7.699999999999999e-06,13.03,23.5,0.067,-4.6,-4.97,2098,2114,16
(2006 HF6),26,1.1e-05,16.39,24.5,0.043,-4.6,-5.15,2053,2110,57
(2015 XA378),22,5.2000000000000004e-05,17.9,25.6,0.026000000000000002,-4.6,-4.83,2092,2119,27
(2020 XF),148,0.00036,3.27,26.8,0.015,-4.6,-5.18,2056,2120,64
(2017 SF20),1,0.00033,10.44,28.4,0.006999999999999999,-4.61,-4.61,2034,2034,0
(2014 CR13),20,9.1e-05,12.29,25.7,0.024,-4.62,-4.74,2103,2117,14
(2018 GR4),37,0.00032,2.6,27.1,0.013000000000000001,-4.63,-4.68,2058,2120,62
(2011 UM169),19,3.3e-05,13.96,25.1,0.033,-4.65,-4.87,2099,2107,8
(2008 FF5),1,4.8e-07,39.47,23.1,0.081,-4.66,-4.66,2060,2060,0
(2011 SO189),13,0.0001,12.99,26.5,0.017,-4.68,-5.04,2056,2102,46
(2016 DK1),47,0.0003,6.87,27.4,0.011000000000000001,-4.69,-5.11,2043,2120,77
(2017 PY26),6,1.2e-06,19.98,22.4,0.11,-4.69,-5.28,2108,2117,9
(2020 DJ1),25,2.6000000000000002e-05,14.0,24.9,0.036000000000000004,-4.7,-4.93,2083,2117,34
(2020 JK),52,7.6e-06,18.59,24.1,0.052000000000000005,-4.7,-5.67,2071,2118,47
(2020 UE),19,2.9999999999999997e-05,14.58,25.5,0.026000000000000002,-4.7,-5.14,2042,2120,78
(2014 WA201),8,0.00016,11.57,26.8,0.015,-4.71,-4.72,2075,2084,9
(2012 ES10),7,1.6e-06,24.36,23.7,0.061,-4.71,-5.0,2054,2064,10
(2007 HB15),59,0.0005099999999999999,6.34,27.8,0.01,-4.73,-4.91,2047,2115,68
(2019 QR3),19,0.00023999999999999998,10.98,27.1,0.013000000000000001,-4.73,-5.08,2073,2088,15
(2010 DG77),563,7.400000000000001e-06,2.38,24.5,0.044000000000000004,-4.74,-6.18,2022,2117,95
(2017 VL2),58,0.00013000000000000002,8.33,26.1,0.021,-4.74,-5.36,2087,2115,28
(1995 CS),6,5.3e-06,25.44,25.4,0.027999999999999997,-4.76,-4.78,2042,2061,19
(2008 PK9),9,5.2e-07,26.64,23.2,0.078,-4.77,-5.11,2045,2065,20
(2018 NW),67,0.00033999999999999997,21.14,27.8,0.009000000000000001,-4.77,-5.37,2046,2117,71
(2005 XA8),21,3.6e-05,12.06,25.6,0.025,-4.78,-5.22,2063,2086,23
(2014 YN),23,0.00011,3.27,25.7,0.024,-4.78,-5.28,2095,2115,20
(2011 OB26),36,5.3e-05,10.99,25.5,0.027000000000000003,-4.79,-5.24,2096,2117,21
(2011 CU46),502,2.3e-05,16.0,25.4,0.027999999999999997,-4.8,-6.02,2028,2117,89
(2012 EK5),14,3.3e-05,15.13,25.5,0.026000000000000002,-4.8,-5.07,2070,2111,41
(2017 YM1),18,2.8000000000000003e-05,11.08,25.2,0.031,-4.8,-5.0,2048,2103,55
(2019 TU),11,8.9e-05,9.72,26.0,0.021,-4.8,-4.8,2088,2119,31
(2011 XC2),1,6.7e-07,20.75,23.0,0.085,-4.81,-4.81,2056,2056,0
(2016 EO28),19,0.00058,6.98,29.1,0.005,-4.82,-4.85,2035,2054,19
(2020 DF3),3,2.4e-06,26.8,24.2,0.05,-4.82,-5.12,2067,2081,14
