des,fullname,neo,pha,spkid,moid,e,a,q,i,om,w,ma,tp,per,n,ad
29075,29075 (1950 DA),True,True,2029075,,0.508,1.7,0.836,12.2,357,225,320,2459290.524,809,0.445,2.56
101955,101955 Bennu (1999 RQ36),True,True,2101955,,0.204,1.13,0.897,6.03,2.06,66.2,102,2455439.142,437,0.824,1.36
1979 XB,(1979 XB),True,True,3012393,,0.708,2.23,0.65,24.7,86.1,75.6,346,2444267.667,1210,0.296,3.81
2000 SG344,(2000 SG344),True,False,3054374,,0.0669,0.977,0.912,0.112,192,275,240,2459318.496,353,1.02,1.04
2009 JF1,(2009 JF1),True,False,3459473,,0.738,1.89,0.496,6.15,45.6,281,149,2458806.998,951,0.378,3.29
2007 FT3,(2007 FT3),True,True,3372217,,0.308,1.13,0.782,26.9,9.89,277,298,2454256.088,439,0.821,1.48
2008 JL3,(2008 JL3),True,False,3410213,,0.544,2.16,0.985,0.897,40.3,156,1.29,2459196.347,1160,0.311,3.33
2021 EU,(2021 EU),True,False,54130040,,0.728,2.08,0.565,3.84,158,269,17.1,2459227.413,1100,0.329,3.59
2010 RF12,(2010 RF12),True,False,3545552,,0.188,1.06,0.861,0.883,164,268,82.4,2459109.215,399,0.903,1.26
2005 QK76,(2005 QK76),True,False,3289125,,0.518,1.4,0.674,22.9,338,266,36.2,2453552.815,604,0.596,2.12
2005 ED224,(2005 ED224),True,False,3274491,,0.66,1.91,0.65,31.9,171,277,19.9,2453392.310,964,0.373,3.17
2014 MR26,(2014 MR26),True,False,3674069,,0.786,1.67,0.357,11.1,147,278,32.6,2456764.229,787,0.458,2.98
2001 CA21,(2001 CA21),True,True,3092289,,0.775,1.66,0.374,4.96,46.6,219,336,2451995.134,784,0.459,2.95
2016 NL56,(2016 NL56),True,True,3757572,,0.601,1.38,0.55,4.52,3.19,83.4,265,2457738.887,591,0.609,2.21
1994 GK,(1994 GK),True,False,3092123,,0.601,1.94,0.773,5.63,15.4,112,17.5,2449403.695,984,0.366,3.1
2001 VB,(2001 VB),True,True,3092419,,0.9,2.4,0.239,9.53,306,224,350,2452258.617,1350,0.266,4.55
2008 UB7,(2008 UB7),True,False,3433362,,0.594,1.24,0.502,2.02,220,288,318,2454827.045,502,0.718,1.97
2000 SB45,(2000 SB45),True,False,3054334,,0.398,1.56,0.941,3.67,196,216,341,2451853.737,714,0.504,2.19
2012 HG2,(2012 HG2),True,False,3602706,,0.182,1.19,0.973,0.114,145,25,273,2459315.530,473,0.76,1.41
2012 QD8,(2012 QD8),True,False,3607729,,0.698,1.91,0.578,5.58,349,87.8,26.6,2459129.243,966,0.373,3.25
2016 WN55,(2016 WN55),True,False,3765990,,0.37,0.835,0.526,12.3,341,243,239,2457804.918,279,1.29,1.14
2007 DX40,(2007 DX40),True,False,3368860,,0.539,1.54,0.71,0.452,330,274,330,2454213.224,697,0.516,2.37
2020 VW,(2020 VW),True,False,54087438,,0.347,0.842,0.55,3.04,222,41.4,161,2459074.355,282,1.28,1.13
2020 FA5,(2020 FA5),True,True,54016365,,0.806,1.94,0.378,6.61,39.2,242,338,2458992.643,990,0.364,3.51
2008 EX5,(2008 EX5),True,False,3404783,,0.392,1.36,0.828,3.38,16.2,66.2,61.8,2459100.999,580,0.621,1.89
2017 WT28,(2017 WT28),True,False,3790065,,0.131,0.9,0.782,5.77,243,35.9,345,2459213.549,312,1.15,1.02
2020 VV,(2020 VV),True,False,54087437,,0.119,1.12,0.985,0.346,19.6,333,74.8,2459110.883,432,0.834,1.25
2013 VW13,(2013 VW13),True,False,3653698,,0.574,1.67,0.712,3.53,228,101,124,2458927.850,790,0.456,2.63
2009 BE,(2009 BE),True,False,3444298,,0.451,1.49,0.82,0.96,126,60.6,187,2459521.820,667,0.54,2.17
2006 JY26,(2006 JY26),True,False,3332535,,0.0831,1.01,0.926,1.44,43.5,274,61.8,2459136.822,371,0.971,1.09
2008 CC71,(2008 CC71),True,False,3402364,,0.368,1.45,0.918,1.87,339,222,333,2454556.567,639,0.563,1.99
2017 SH33,(2017 SH33),True,False,3785714,,0.454,2.33,1.27,65.8,226,179,355,2458042.026,1300,0.278,3.38
2020 TJ3,(2020 TJ3),True,False,54055113,,0.244,1.06,0.799,8.71,223,266,336,2459226.615,397,0.908,1.31
2015 YJ,(2015 YJ),True,False,3738548,,0.523,1.26,0.603,0.121,265,79.1,228,2459390.730,519,0.694,1.92
2014 GN1,(2014 GN1),True,False,3666927,,0.749,2.65,0.665,2.96,193,80.4,189,2459951.344,1580,0.228,4.64
2020 KD3,(2020 KD3),True,False,54017182,,0.319,1.35,0.92,3.78,65.6,231,101,2459039.383,574,0.627,1.78
2006 DM63,(2006 DM63),True,False,3324656,,0.497,0.696,0.35,1.78,336,17.4,140,2453711.914,212,1.7,1.04
2011 DU9,(2011 DU9),True,False,3557959,,0.515,1.94,0.94,3.42,155,328,239,2459530.072,984,0.366,2.93
2017 LD,(2017 LD),True,False,3775176,,0.278,1.39,1.01,0.068,78.9,196,41.2,2459131.608,602,0.598,1.78
2010 CR5,(2010 CR5),True,False,3507937,,0.818,3.01,0.548,5.61,323,49.4,24.1,2455113.894,1900,0.189,5.47
2020 MJ,(2020 MJ),True,False,54017473,,0.593,1.64,0.665,3.18,262,272,30.3,2458961.143,765,0.471,2.61
2021 AM6,(2021 AM6),True,False,54105561,,0.228,0.829,0.64,3.06,107,206,114,2459113.262,276,1.31,1.02
2010 GM23,(2010 GM23),True,False,3515381,,0.442,1.32,0.734,4.35,205,81.1,321,2455354.832,552,0.652,1.9
2013 TP4,(2013 TP4),True,False,3648841,,0.76,1.88,0.451,6.32,189,73.4,19.6,2456520.099,944,0.381,3.32
2016 WG,(2016 WG),True,False,3763930,,0.742,1.83,0.472,0.22,294,232,212,2459572.235,904,0.398,3.19
2008 HJ,(2008 HJ),True,False,3409625,,0.407,1.63,0.968,0.925,47.5,204,8.51,2459182.501,762,0.473,2.3
2017 RZ17,(2017 RZ17),True,False,3781833,,0.515,1.95,0.946,11.1,29.3,66,306,2458163.101,996,0.362,2.96
2019 LW4,(2019 LW4),True,False,3842873,,0.197,1.08,0.868,12.1,77.6,263,68.2,2459122.794,410,0.878,1.29
2014 JU15,(2014 JU15),True,False,3670630,,0.466,0.726,0.387,9.1,38.6,20.3,32.8,2459179.920,226,1.59,1.06
2002 RB182,(2002 RB182),True,False,3136730,,0.652,2.56,0.89,0.228,166,254,348,2452584.227,1500,0.241,4.23
2007 KO4,(2007 KO4),True,False,3377888,,0.162,1.1,0.925,25.2,61.2,299,254,2454369.222,423,0.851,1.28
2010 UK,(2010 UK),True,False,3549640,,0.219,0.866,0.677,4.92,203,36.6,347,2459211.408,295,1.22,1.06
2007 KE4,(2007 KE4),True,False,3377868,,0.574,2.4,1.02,9.37,65.1,194,356,2454259.409,1360,0.266,3.77
2020 TY4,(2020 TY4),True,False,54062087,,0.486,1.95,1,8,354,348,34.3,2459105.693,994,0.362,2.9
2019 LU1,(2019 LU1),True,False,3842770,,0.876,1.53,0.19,7.35,75.6,317,336,2458685.263,689,0.522,2.86
2020 CQ1,(2020 CQ1),True,False,3989676,,0.322,1.44,0.975,2.8,134,343,190,2459498.291,629,0.572,1.9
2008 ST7,(2008 ST7),True,False,3427737,,0.513,1.94,0.942,2.45,348,322,212,2459605.434,984,0.366,2.93
2010 QG2,(2010 QG2),True,False,3545399,,0.518,1.67,0.808,4.7,343,64.2,337,2455489.158,792,0.455,2.54
2016 HF3,(2016 HF3),True,False,3752433,,0.5,2.06,1.03,6.19,58.8,185,195,2459694.668,1080,0.333,3.09
2008 EZ84,(2008 EZ84),True,False,3406027,,0.151,1.01,0.858,13.1,169,268,280,2459282.786,371,0.97,1.16
2011 BL45,(2011 BL45),True,False,3556125,,0.021,1.04,1.02,3.05,135,155,326,2459236.937,386,0.932,1.06
2008 TE,(2008 TE),True,False,3428699,,0.453,1.52,0.831,0.306,1.16,297,27.9,2454688.494,684,0.526,2.21
2018 NJ,(2018 NJ),True,False,3825525,,0.345,1.54,1.01,4.67,108,193,94,2459018.414,698,0.516,2.07
2011 EB74,(2011 EB74),True,False,3559908,,0.176,0.933,0.769,10.6,356,301,255,2455731.296,329,1.09,1.1
2016 RD34,(2016 RD34),True,False,3759358,,0.0347,1.05,1.01,1.96,350,11,344,2459217.760,391,0.921,1.08
2018 TY4,(2018 TY4),True,False,3831729,,0.61,2.41,0.94,2.71,12.5,329,218,2459741.345,1370,0.263,3.88
2017 AE21,(2017 AE21),True,False,3766658,,0.179,1.1,0.903,3.06,247,125,76,2457668.614,421,0.855,1.3
2018 JD,(2018 JD),True,False,3819682,,0.358,1.57,1.01,10.9,47.5,188,116,2458969.549,716,0.503,2.13
2010 MY112,(2010 MY112),True,False,3536587,,0.244,1.07,0.809,38.5,83,328,271,2455470.972,405,0.89,1.33
2012 BA77,(2012 BA77),True,False,3596675,,0.632,2.36,0.869,1.19,197,228,12.1,2455906.942,1330,0.272,3.86
2019 WG2,(2019 WG2),True,False,3893456,,0.305,1.28,0.889,23.4,241,124,296,2459293.986,528,0.682,1.67
2012 MF7,(2012 MF7),True,False,3605946,,0.383,1.47,0.91,1.97,91,127,290,2459327.102,654,0.551,2.04
2012 VE77,(2012 VE77),True,False,3617955,,0.555,1.64,0.73,8.1,235,254,337,2456296.376,767,0.469,2.55
2018 DQ,(2018 DQ),True,False,3799710,,0.685,1.71,0.541,0.396,152,264,21.6,2458123.198,820,0.439,2.89
