"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Diameter",""
"(2015 MB54)","2021-Apr-06 11:04 ± < 00:01","13.53 | 0.03476","13.53 | 0.03476","3.71","3.69","24.0","43 m -   96 m","bK15M54B"
"(2021 GB)","2021-Apr-06 17:03 ±    00:02","7.88 | 0.02024","7.85 | 0.02018","3.95","3.92","27.0","10 m -   23 m","bK21G00B"
"(2020 GE1)","2021-Apr-07 03:18 ±    00:10","12.13 | 0.03117","12.10 | 0.03108","4.18","4.16","27.1","10 m -   23 m","bK20G01E"
"(2014 FO38)","2021-Apr-07 10:46 ±    00:29","16.72 | 0.04296","16.70 | 0.04291","8.34","8.34","26.3","15 m -   33 m","bK14F38O"
"(2021 EH4)","2021-Apr-08 00:18 ± < 00:01","13.01 | 0.03343","12.96 | 0.03330","7.66","7.65","24.9","27 m -   61 m","bK21E04H"
"(2020 UY1)","2021-Apr-15 07:50 ±    04:37","15.96 | 0.04101","14.03 | 0.03605","8.75","8.74","26.0","17 m -   38 m","bK20U01Y"
"(2017 HG4)","2021-Apr-16 17:16 ±    18:03","7.57 | 0.01946","5.99 | 0.01538","4.12","4.09","27.7","7.7 m -   17 m","bK17H04G"
"(2020 HE5)","2021-Apr-17 16:50 ±    00:09","8.48 | 0.02178","8.34 | 0.02143","4.32","4.29","27.7","7.7 m -   17 m","bK20H05E"
"(2019 HQ)","2021-Apr-20 07:48 ±    06:24","14.73 | 0.03785","13.52 | 0.03475","8.80","8.80","26.2","15 m -   34 m","bK19H00Q"
"(2020 HO5)","2021-Apr-22 16:49 ±    00:09","16.48 | 0.04234","16.40 | 0.04213","3.34","3.32","28.5","5.3 m -   12 m","bK20H05O"
"(2019 PS1)","2021-Apr-23 21:00 ± 6_02:03","14.47 | 0.03718","14.03 | 0.03606","9.98","9.97","26.8","12 m -   26 m","bK19P01S"
"(2016 QE45)","2021-Apr-24 01:48 ± < 00:01","13.20 | 0.03391","13.20 | 0.03391","15.26","15.25","21.7","120 m -  270 m","bK16Q45E"
"(2021 FK3)","2021-Apr-24 17:59 ±    00:56","15.67 | 0.04028","15.50 | 0.03984","13.99","13.98","22.3","94 m -  210 m","bK21F03K"
"(2015 HA177)","2021-Apr-26 13:05 ± 4_14:59","18.59 | 0.04776","0.83 | 0.00214","8.71","8.70","27.7","7.7 m -   17 m","bK15HH7A"
"(2019 HF4)","2021-Apr-26 22:24 ± 7_20:11","7.74 | 0.01989","1.22 | 0.00314","6.76","6.74","27.6","8.0 m -   18 m","bK19H04F"
"(2021 EZ4)","2021-Apr-29 13:39 ±    00:18","14.86 | 0.03819","14.75 | 0.03790","2.47","2.44","26.2","15 m -   35 m","bK21E04Z"
"(2019 VT3)","2021-May-01 04:54 ±    00:57","12.03 | 0.03091","11.51 | 0.02958","5.94","5.92","28.2","6.1 m -   14 m","bK19V03T"
"(2021 AF8)","2021-May-04 12:14 ± < 00:01","8.74 | 0.02246","8.74 | 0.02246","9.41","9.39","20.1","260 m -  580 m","bK21A08F"
"(2018 JP)","2021-May-05 21:42 ± 1_11:09","10.55 | 0.02711","5.92 | 0.01521","7.82","7.81","27.4","8.8 m -   20 m","bK18J00P"
"(2021 AE4)","2021-May-06 15:59 ±    00:01","18.41 | 0.04730","18.41 | 0.04729","9.07","9.06","21.8","110 m -  260 m","bK21A04E"
"(2015 KJ19)","2021-May-14 10:04 ± < 00:01","15.01 | 0.03856","15.01 | 0.03856","23.04","23.04","22.4","88 m -  200 m","bK15K19J"
"478784 (2012 UV136)","2021-May-18 20:57 ± < 00:01","15.74 | 0.04045","15.74 | 0.04045","4.97","4.96","25.6","20 m -   45 m","a0478784"
"(2013 VO11)","2021-May-25 12:45 ± 7_19:06","3.83 | 0.00983","3.09 | 0.00795","10.12","10.10","28.3","5.8 m -   13 m","bK13V11O"
"(2018 LB)","2021-Jun-01 16:56 ±    19:15","2.87 | 0.00738","0.91 | 0.00234","7.69","7.65","26.0","17 m -   38 m","bK18L00B"
