"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"29075 (1950 DA)","2880-2880","1","1.2e-4","14.10","17.6","1.300","-1.42","-1.42","","a0029075"
"101955 Bennu (1999 RQ36)","2175-2199","78","3.7e-4","5.99","20.2","0.490","-1.69","-2.30","","a0101955"
"(1979 XB)","2056-2113","2","7.4e-7","23.92","18.5","0.662","-2.79","-3.08","0","bJ79X00B"
"(2000 SG344)","2069-2113","101","2.6e-3","1.36","24.8","0.037","-2.84","-3.20","0","bK00SY4G"
"(2009 JF1)","2022-2022","1","2.6e-4","23.92","27.1","0.013","-2.88","-2.88","0","bK09J01F"
"(2007 FT3)","2024-2116","164","1.4e-6","17.06","20.0","0.340","-2.95","-3.46","0","bK07F03T"
"(2008 JL3)","2027-2119","27","1.6e-4","8.42","25.3","0.029","-3.23","-3.24","0","bK08J03L"
"(2021 EU)","2024-2056","3","4.6e-5","21.46","25.4","0.028","-3.28","-3.31","0","bK21E00U"
"(2010 RF12)","2095-2119","59","4.7e-2","5.10","28.4","0.007","-3.31","-3.32","0","bK10R12F"
"(2005 QK76)","2030-2107","9","6.8e-5","19.67","25.2","0.031","-3.41","-3.55","0","bK05Q76K"
"(2005 ED224)","2023-2064","5","2.6e-6","24.96","24.0","0.054","-3.45","-3.46","0","bK05EM4D"
"(2014 MR26)","2036-2073","12","2.5e-8","26.98","17.8","0.916","-3.49","-3.80","0","bK14M26R"
"(2001 CA21)","2025-2073","3","9.3e-9","30.70","18.5","0.677","-3.52","-3.53","0","bK01C21A"
"(2016 NL56)","2023-2118","259","7.2e-7","15.23","20.6","0.265","-3.56","-4.25","0","bK16N56L"
"(1994 GK)","2051-2067","5","6.9e-5","14.87","24.2","0.048","-3.62","-3.63","0","bJ94G00K"
"(2001 VB)","2023-2023","1","2.4e-9","35.02","18.3","0.730","-3.63","-3.63","0","bK01V00B"
"(2008 UB7)","2048-2100","31","3.5e-5","18.51","23.8","0.058","-3.68","-4.29","0","bK08U07B"
"(2000 SB45)","2074-2113","101","1.6e-4","7.53","24.3","0.046","-3.75","-4.21","0","bK00S45B"
"(2012 HG2)","2052-2119","469","2.8e-3","3.33","27.0","0.014","-3.75","-4.25","0","bK12H02G"
"(2012 QD8)","2042-2105","4","6.5e-6","20.76","23.1","0.081","-3.75","-3.88","0","bK12Q08D"
"(2016 WN55)","2026-2114","76","1.1e-7","15.41","19.4","0.452","-3.77","-4.46","0","bK16W55N"
"(2007 DX40)","2030-2111","41","6.2e-5","15.53","24.6","0.040","-3.80","-4.22","0","bK07D40X"
"(2020 VW)","2074-2087","15","7.0e-3","9.69","28.3","0.007","-3.84","-4.12","0","bK20V00W"
"(2020 FA5)","2043-2119","81","6.7e-7","28.26","21.0","0.212","-3.85","-4.52","0","bK20F05A"
"(2008 EX5)","2061-2090","16","4.7e-5","9.92","23.8","0.059","-3.86","-4.13","0","bK08E05X"
"(2017 WT28)","2083-2119","72","1.1e-2","4.47","28.1","0.008","-3.86","-3.88","0","bK17W28T"
"(2020 VV)","2044-2120","151","2.3e-3","2.57","27.3","0.012","-3.88","-4.36","0","bK20V00V"
"(2013 VW13)","2071-2084","9","4.3e-4","16.35","26.2","0.019","-3.89","-4.06","0","bK13V13W"
"(2009 BE)","2061-2117","24","4.3e-4","11.46","26.1","0.020","-4.00","-4.30","0","bK09B00E"
"(2006 JY26)","2073-2109","39","7.0e-3","2.98","28.4","0.007","-4.04","-4.04","0","bK06J26Y"
"(2008 CC71)","2034-2082","20","5.9e-5","8.07","24.9","0.036","-4.07","-4.43","0","bK08C71C"
"(2017 SH33)","2026-2093","21","2.3e-8","25.22","19.2","0.490","-4.09","-4.44","0","bK17S33H"
"(2020 TJ3)","2067-2120","29","7.2e-5","8.21","24.6","0.041","-4.11","-4.61","0","bK20T03J"
"(2015 YJ)","2042-2115","54","1.6e-3","16.35","28.3","0.007","-4.12","-4.35","0","bK15Y00J"
"(2014 GN1)","2061-2061","1","2.1e-5","21.23","24.6","0.041","-4.13","-4.13","0","bK14G01N"
"(2020 KD3)","2083-2107","18","6.0e-4","7.93","26.4","0.017","-4.13","-4.14","0","bK20K03D"
"(2006 DM63)","2031-2116","39","1.4e-4","10.37","26.7","0.015","-4.14","-4.42","0","bK06D63M"
"(2011 DU9)","2046-2059","4","2.8e-4","8.77","26.7","0.016","-4.15","-4.15","0","bK11D09U"
"(2017 LD)","2053-2120","204","2.2e-3","4.49","27.5","0.011","-4.18","-4.74","0","bK17L00D"
"(2010 CR5)","2062-2075","3","7.5e-8","23.68","19.8","0.371","-4.20","-4.23","0","bK10C05R"
"(2020 MJ)","2086-2109","29","9.5e-5","17.05","25.3","0.030","-4.20","-4.42","0","bK20M00J"
"(2021 AM6)","2064-2120","30","5.2e-4","5.21","26.6","0.016","-4.21","-4.55","0","bK21A06M"
"(2010 GM23)","2087-2116","30","6.3e-5","13.44","24.7","0.040","-4.22","-4.87","0","bK10G23M"
"(2013 TP4)","2026-2026","1","4.9e-5","25.30","27.5","0.011","-4.23","-4.23","0","bK13T04P"
"(2016 WG)","2076-2115","24","5.8e-6","23.60","23.3","0.075","-4.23","-4.93","0","bK16W00G"
"(2008 HJ)","2077-2112","25","2.6e-4","7.53","25.8","0.024","-4.27","-4.73","0","bK08H00J"
"(2017 RZ17)","2022-2116","44","2.5e-8","19.20","19.8","0.369","-4.28","-4.62","0","bK17R17Z"
"(2019 LW4)","2083-2115","38","1.0e-3","8.62","27.3","0.012","-4.28","-4.31","0","bK19L04W"
"(2014 JU15)","2079-2114","86","5.6e-5","10.35","24.7","0.039","-4.30","-5.20","0","bK14J15U"
"(2002 RB182)","2053-2116","26","6.1e-6","13.26","22.8","0.092","-4.31","-5.02","0","bK02RI2B"
"(2007 KO4)","2022-2116","315","4.3e-6","13.71","23.3","0.075","-4.32","-5.13","0","bK07K04O"
"(2010 UK)","2068-2116","43","5.2e-4","6.08","26.9","0.014","-4.34","-4.35","0","bK10U00K"
"(2007 KE4)","2026-2115","4","1.4e-5","10.07","25.2","0.031","-4.36","-4.39","0","bK07K04E"
"(2019 LU1)","2056-2070","8","4.4e-6","31.85","24.3","0.048","-4.36","-4.42","0","bK19L01U"
"(2020 TY4)","2099-2099","2","2.9e-5","8.37","24.0","0.054","-4.36","-4.36","0","bK20T04Y"
"(2020 CQ1)","2070-2119","11","4.6e-3","4.90","28.8","0.006","-4.37","-4.38","0","bK20C01Q"
"(2008 ST7)","2074-2112","21","2.7e-5","9.97","24.1","0.052","-4.39","-4.81","0","bK08S07T"
"(2010 QG2)","2051-2064","6","1.1e-5","12.89","24.3","0.047","-4.39","-4.40","0","bK10Q02G"
"(2016 HF3)","2078-2092","2","4.7e-5","7.93","24.8","0.038","-4.40","-4.40","0","bK16H03F"
"(2008 EZ84)","2072-2115","9","1.9e-4","7.91","26.2","0.020","-4.41","-4.71","0","bK08E84Z"
"(2011 BL45)","2050-2119","56","8.4e-4","1.68","27.1","0.013","-4.42","-4.57","0","bK11B45L"
"(2008 TE)","2023-2077","4","4.3e-5","11.84","27.7","0.010","-4.43","-4.43","0","bK08T00E"
"(2018 NJ)","2083-2116","17","1.6e-3","5.85","27.8","0.009","-4.43","-4.44","0","bK18N00J"
"(2011 EB74)","2032-2116","423","3.3e-4","7.54","26.9","0.014","-4.44","-5.40","0","bK11E74B"
"(2016 RD34)","2051-2094","21","6.8e-4","1.13","27.4","0.011","-4.44","-4.77","0","bK16R34D"
"(2018 TY4)","2033-2033","1","3.1e-4","10.67","28.1","0.008","-4.45","-4.45","0","bK18T04Y"
"(2017 AE21)","2021-2117","96","4.6e-6","5.14","25.0","0.034","-4.47","-5.01","0","bK17A21E"
"(2018 JD)","2067-2096","5","2.6e-4","8.01","26.7","0.016","-4.48","-4.48","0","bK18J00D"
"(2010 MY112)","2022-2092","28","1.1e-8","23.63","21.0","0.370","-4.49","-4.84","0","bK10MB2Y"
"(2012 BA77)","2025-2088","29","3.3e-5","12.70","25.9","0.023","-4.49","-5.01","0","bK12B77A"
"(2019 WG2)","2093-2119","37","4.3e-5","14.77","24.9","0.035","-4.51","-5.05","0","bK19W02G"
"(2012 MF7)","2046-2096","12","1.5e-4","8.70","26.8","0.015","-4.53","-4.57","0","bK12M07F"
"(2012 VE77)","2033-2035","2","2.6e-5","15.33","26.3","0.018","-4.54","-4.54","0","bK12V77E"
"(2018 DQ)","2027-2114","62","2.2e-4","20.85","29.1","0.005","-4.54","-4.58","0","bK18D00Q"
"(2013 GM3)","2028-2116","169","1.5e-4","7.14","26.2","0.019","-4.56","-5.31","0","bK13G03M"
"(2007 WP3)","2098-2114","17","7.7e-6","13.03","23.5","0.067","-4.60","-4.97","0","bK07W03P"
"(2006 HF6)","2053-2110","26","1.1e-5","16.39","24.5","0.043","-4.60","-5.15","0","bK06H06F"
